state,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),PARTY,PRES PARTY,GENERAL %,GE WINNER INDICATOR,year
AK,S4AK00099,(I),Lisa,Murkowski,R,O,44.36%,W,2016
AK,S0AK00121,,Joe,Miller,LIB,O,29.16%,,2016
AK,S6AK00151,,Margaret,Stock,NAF,O,13.23%,,2016
AK,S8AK00082,,Ray,Metcalfe,D,O,11.62%,,2016
AL,S6AL00013,(I),Richard C.,Shelby,R,O,63.96%,W,2016
AL,S6AL00302,,Ron,Crumpton,D,O,35.87%,,2016
AR,S0AR00150,(I),John,Boozman,R,O,59.77%,W,2016
AR,S6AR00132,,Conner,Eldridge,D,O,36.17%,,2016
AR,S6AR00140,,Frank,Gilbert,LIB,O,3.96%,,2016
AR,S6AR00157,,Jason,Tate,W,O,0.10%,,2016
AZ,S6AZ00019,(I),John,McCain,R,O,53.71%,W,2016
AZ,S6AZ00225,,Ann,Kirkpatrick,D,O,40.75%,,2016
AZ,S6AZ00340,,Gary,Swing,GRE,O,5.48%,,2016
AZ,S6AZ00258,,Pat,Quinn,W,O,0.03%,,2016
AZ,S6AZ00357,,Merissa,Hamilton,LIB,O,0.00%,,2016
CA,S6CA00584,,Kamala D.,Harris,D,O,61.60%,W,2016
CA,S6CA00964,,Billy,Falling,R,O,39.40%,,2016
CA,n/a,,Ric M.,Llewellyn,NOP,O,0.00%,,2016
CA,S6CA00949,,John Thompson,Parker,PAF,O,0.00%,,2016
CA,S8CA00283,,Gail K.,Lightfoot,LIB,O,0.00%,,2016
CA,S6CA00956,,Pamela,Elizondo,GRE,O,0.00%,,2016
CO,S0CO00211,(I),Michael,Bennet,D,O,49.97%,W,2016
CO,S6CO00226,,Darryl,Glenn,R,O,44.31%,,2016
CO,S6CO00317,,Lily Tang,Williams,LIB,O,3.62%,,2016
CO,S6CO00366,,Arn,Menconi,GRE,O,1.34%,,2016
CO,S4CO00411,,Bill,Hammons,UPC,O,0.34%,,2016
CO,S6CO00374,,Dan,Chapin,UN,O,0.30%,,2016
CO,S4CO00429,,Don,Willoughby,W,O,0.00%,,2016
CT,S0CT00177,(I),Richard,Blumenthal,D,O,63.19%,W,2016
CT,S6CT05108,,Dan,Carter,R,O,34.62%,,2016
CT,S6CT05124,,Richard,Lion,LIB,O,1.14%,,2016
CT,S0CT00250,,Jeffery,Russell,GRE,O,1.05%,,2016
CT,n/a,,Andrew,Rule,W,O,0.00%,,2016
FL,S0FL00338,(I),Marco,Rubio,R,O,51.98%,W,2016
FL,S6FL00319,,Patrick,Murphy,D,O,44.31%,,2016
FL,S6FL00467,,Paul,Stanton,LBF,O,2.12%,,2016
FL,S6FL00327,,Bruce,Nathan,NPA,O,0.56%,,2016
FL,S6FL00533,,Charles Frederick,Tolbert,W,O,0.00%,,2016
GA,S6GA00119,(I),Johnny,Isakson,R,O,54.78%,W,2016
GA,S6GA00200,,Jim,Barksdale,D,O,41.03%,,2016
GA,S4GA11103,,Allen,Buckley,LIB,O,4.16%,,2016
GA,S6GA00259,,Michelle,Gates,W,O,0.02%,,2016
HI,S4HI00136,(I),Brian,Schatz,D,O,73.60%,W,2016
HI,S0HI00126,,John,Carroll,R,O,22.24%,,2016
HI,S4HI00151,,Joy J,Allison,CON,O,2.19%,,2016
HI,S4HI00169,,Michael A.,Kokoski,LIB,O,1.63%,,2016
HI,S6HI00305,,John M. (Raghu),Giuffre,AMS,O,0.33%,,2016
IA,S0IA00028,(I),Charles E.,Grassley,R,O,60.09%,W,2016
IA,S6IA00140,,Patty,Judge,D,O,35.66%,,2016
IA,S6IA00165,,Charles,Aldrich,LIB,O,2.71%,,2016
IA,S6IA00173,,Jim,Hennager,NPI,O,1.15%,,2016
IA,S6IA00157,,Michael,Luick-Thrams,NNE,O,0.29%,,2016
ID,S8ID00027,(I),Mike,Crapo,R,O,66.13%,W,2016
ID,S6ID00112,,Jerry,Sturgill,D,O,27.73%,,2016
ID,S6ID00104,,Ray J.,Writz,CON,O,6.14%,,2016
IL,S6IL00292,,Tammy,Duckworth,D,O,54.86%,W,2016
IL,S0IL00261,(I),Mark Steven,Kirk,R,O,39.78%,,2016
IL,S6IL00383,,Kenton,McMillen,LIB,O,3.20%,,2016
IL,S4IL00388,,Scott,Summers,GRE,O,2.14%,,2016
IL,S2IL00044,,Chad,Koppie,W,O,0.01%,,2016
IN,S6IN00191,,Todd,Young,R,O,52.11%,W,2016
IN,S8IN00049,,Evan,Bayh,D,O,42.41%,,2016
IN,S6IN00225,,Lucy,Brenton,LIB,O,5.47%,,2016
IN,S2IN00117,,James L.,Johnson,W,O,0.00%,,2016
KS,S0KS00091,(I),Jerry,Moran,R ,O,62.18%,W,2016
KS,S0KS00166,,Patrick,Wiesner,D ,O,32.24%,,2016
KS,S6KS00221,,Robert D.,Garrard,LIB,O,5.58%,,2016
KS,S4KS00150,,DJ,Smith,W,O,0.00%,,2016
KY,S0KY00156,(I),Rand,Paul,R,O,57.27%,W,2016
KY,S6KY00120,,Jim,Gray,D,O,42.72%,,2016
KY,S0KY00255,,Billy Ray,Wilson,W,O,0.00%,,2016
LA,S4LA00065,,John,Kennedy,R,O,24.96%,W,2016
LA,S6LA00359,,Foster,Campbell,D,O,17.47%,,2016
LA,S6LA00441,,Beryl,Billiot,NPA,O,1.00%,,2016
LA,S4LA00149,,Thomas P.,Clements,LIB,O,0.59%,,2016
LA,S0LA00170,,"William Robert ""Bob,"" Jr.",Lang,OTH,O,0.07%,,2016
MD,S6MD03441,,Chris,Van Hollen,D,O,60.89%,W,2016
MD,S6MD03508,,Kathy,Szeliga,R,O,35.67%,,2016
MD,S6MD03474,,Margaret,Flowers,GRE,O,3.30%,,2016
MO,S0MO00183,(I),Roy,Blunt,R,O,49.18%,W,2016
MO,S6MO00362,,Jason,Kander,D,O,46.39%,,2016
MO,S0MO00340,,Jonathan,Dine,LIB,O,2.42%,,2016
MO,S6MO00479,,Jonathan,McFarland,GRE,O,1.10%,,2016
MO,S6MO00453,,Fred,Ryman,CON,O,0.91%,,2016
NC,S4NC00089,(I),Richard,Burr,R,O,51.06%,W,2016
NC,S6NC00266,,Deborah K.,Ross,D,O,45.37%,,2016
NC,S2NC00257,,Sean,Haugh,LIB,O,3.57%,,2016
ND,S0ND00093,(I),John,Hoeven,R,O,78.48%,W,2016
ND,S6ND00108,,Eliot,Glassheim,DNL,O,16.97%,,2016
ND,S6ND00116,,Robert N.,Marquette,LIB,O,3.08%,,2016
ND,S6ND00082,,James,Germalic,IND,O,1.36%,,2016
ND,H4NC11086,,Tom,Hill,D,O,0.00%,,2016
NH,S6NH00091,,Maggie,Hassan,D,O,47.98%,W,2016
NH,S0NH00235,(I),Kelly,Ayotte,R,O,47.84%,,2016
NH,S6NH00125,,Aaron,Day,IND,O,2.40%,,2016
NH,S6NH00117,,Brian,Chabot,LIB,O,1.70%,,2016
NV,S6NV00200,,Catherine,Cortez Masto,D,O,47.10%,W,2016
NV,S6NV00218,,Joe,Heck,R,O,44.67%,,2016
NV,n/a,,,None of These Candidates,W,O,3.81%,,2016
NV,S6NV00242,,Tom,Jones,IAP,O,1.55%,,2016
NV,S6NV00317,,"Thomas ""Tom""",Sawyer,NPY,O,1.28%,,2016
NY,S8NY00082,(I),Charles E.,Schumer,D,O,70.60%,W,2016
NY,S2NY00259,,Wendy,Long,R,O,27.17%,,2016
NY,S6NY00425,,Robin Laverne,Wilson,GRE,O,1.53%,,2016
NY,S6NY00433,,Alex,Merced,LIB,O,0.65%,,2016
OH,S0OH00133,(I),Rob,Portman,R,O,58.03%,W,2016
OH,S6OH00254,,Ted,Strickland,D,O,37.16%,,2016
OH,S6OH00262,,Tom,Connors,N,O,1.73%,,2016
OH,S2OH00238,,Joseph R.,DeMare,GRE,O,1.64%,,2016
OH,S6OH00296,,James,Stahl,W,O,0.00%,,2016
OK,S4OK00232,(I),James,Lankford,R,O,67.74%,W,2016
OK,S6OK04114,,Mike,Workman,D,O,24.58%,,2016
OK,S6OK04098,,Robert T.,Murphy,LIB,O,3.00%,,2016
OK,S6OK04130,,Sean,Braddy,IND,O,2.79%,,2016
OR,S6OR00110,(I),Ron,Wyden,D,O,56.60%,W,2016
OR,S4OR00172,,Mark,Callahan,R,O,33.35%,,2016
OR,S6OR05168,,Shanti S.,Lewallen,WF,O,3.17%,,2016
OR,S6OR05127,,Steven C.,Reynolds,IP,O,3.05%,,2016
OR,S6OR05150,,Eric,Navickas,PRO,O,2.50%,,2016
OR,S6OR05176,,Jim,Lindsay,LIB,O,1.23%,,2016
PA,S4PA00121,(I),Pat,Toomey,R,O,48.72%,W,2016
PA,S6PA00266,,Katie,McGinty,D,O,47.29%,,2016
PA,S6PA00316,,"Edward T., III",Clifford,LIB,O,3.88%,,2016
SC,S4SC00240,(I),Tim,Scott,R,O,60.57%,W,2016
SC,S6SC04148,,Thomas,Dixon,D,O,36.93%,,2016
SC,S6SC04155,,Bill,Bledsoe,LIB,O,1.83%,,2016
SC,S6SC04171,,Rebel Michael,Scarborough,AM,O,0.58%,,2016
SD,S2SD00068,(I),John R.,Thune,R,O,71.83%,W,2016
SD,S6SD01091,,Jay,Williams,D,O,28.17%,,2016
UT,S0UT00165,(I),Mike,Lee,R,O,68.15%,W,2016
UT,S6UT00246,,Misty K.,Snow,D,O,27.06%,,2016
UT,S6UT00261,,Stoney,Fonua,IAP,O,2.45%,,2016
UT,S2UT00187,,Bill,Barron,UN,O,2.35%,,2016
VT,S4VT00017,(I),Patrick,Leahy,D,O,61.26%,W,2016
VT,S6VT00160,,Scott,Milne,R,O,33.03%,,2016
VT,S4VT00132,,Cris,Ericson,USM,O,2.92%,,2016
VT,S6VT00178,,Jerry,Trudell,IND,O,1.66%,,2016
VT,S6VT00152,,Pete,Diamondstone,LBU,O,1.03%,,2016
WA,S2WA00189,(I),Patty,Murray,D,O,59.01%,W,2016
WA,S6WA00321,,Chris,Vance,R,O,40.99%,,2016
WA,S6WA00339,,Alex,Tsimerman,SUA,O,0.00%,,2016
WA,S6WA00453,,Jeremy,Teuton,SRP,O,0.00%,,2016
WA,S6WA00446,,Mike,Luke,LIB,O,0.00%,,2016
WA,S6WA00438,,Dr. Pano,Churchill,LCP,O,0.00%,,2016
WA,S4WA00524,,Ted,Cummings,IP,O,0.00%,,2016
WA,S6WA00404,,Sam,Wright,HRP,O,0.00%,,2016
WA,S6WA00396,,Donna Rae,Lands,CRV,O,0.00%,,2016
WI,S0WI00197,(I),Ron,Johnson,R,O,50.17%,W,2016
WI,S8WI00026,,Russ,Feingold,D,O,46.81%,,2016
WI,S6WI00152,,Phillip N.,Anderson,LIB,O,2.97%,,2016
AK,S4AK00214,,Dan,Sullivan,R,D,47.96%,W,2014
AK,S8AK00090,(I),Mark,Begich,D,D,45.83%,,2014
AK,S4AK00230,,Mark S.,Fish,LIB,D,3.72%,,2014
AK,S4AK00115,,Ted,Gianoutsos,NAF,D,2.00%,,2014
AK,S4AK00271,,Vic,Kohring,AKI,D,0.00%,,2014
AL,S6AL00195,(I),Jeff,Sessions,R,D,97.25%,W,2014
AR,S4AR00103,,Tom,Cotton,R,D,56.50%,W,2014
AR,S0AR00028,(I),Mark,Pryor,D,D,39.43%,,2014
AR,S4AR00129,,Nathan,LaFrance,LIB,D,2.03%,,2014
AR,S4AR00111,,Mark H.,Swaney,GRE,D,1.98%,,2014
AR,S4AR00137,,Scott,Pfleegor,W,D,0.06%,,2014
CO,S4CO00395,,Cory,Gardner,R,D,48.20%,W,2014
CO,S8CO00172,(I),Mark,Udall,D,D,46.26%,,2014
CO,S4CO00403,,Gaylon,Kent,LIB,D,2.59%,,2014
CO,S4CO00387,,Steve,Shogan,UN,D,1.44%,,2014
CO,S4CO00411,,Bill,Hammons,UPC,D,0.31%,,2014
CO,S4CO00429,,,Willoughby,W,D,0.00%,,2014
DE,S0DE00092,(I),Christopher A.,Coons,D,D,55.83%,W,2014
DE,S2DE00064,,Kevin,Wade,R,D,42.23%,,2014
DE,S2DE00098,,Andrew,Groff,GRE,D,1.95%,,2014
GA,S4GA11285,,David Alfred,Perdue,R,D,52.89%,W,2014
GA,S4GA11277,,Mary Michelle,Nunn,D,D,45.21%,,2014
GA,S4GA11327,,Amanda C.,Swafford,LIB,D,1.90%,,2014
GA,S4GA11335,,Anantha Reddy,Muscu,W,D,0.00%,,2014
HI,S4HI00136,(I),Brian,Schatz,D,D,69.77%,W,2014
HI,S4HI00102,,Cam,Cavasso,R,D,27.70%,,2014
HI,S4HI00169,,Michael,Kokoski,LIB,D,2.53%,,2014
HI,S4HI00151,,Joy,Allison,N,D,0.00%,,2014
IA,S4IA00129,,Joni,Ernst,R,D,52.10%,W,2014
IA,S4IA00087,,Bruce,Braley,D,D,43.76%,,2014
IA,S4IA00194,,Rick,Stewart,IND,D,2.37%,,2014
IA,S4IA00186,,Douglas,Butzier,LIB,D,0.73%,,2014
IA,S4IA00202,,Bob,Quast,BQT,D,0.52%,,2014
IA,S4IA00210,,Ruth,Smith,NNE,D,0.42%,,2014
ID,S8ID00092,(I),Jim,Risch,R,D,65.33%,W,2014
ID,S4ID00075,,Nels,Mitchell,D,D,34.67%,,2014
IL,S6IL00151,(I),Richard J.,Durbin,D,D,53.55%,W,2014
IL,S2IL00119,,"James D. ""Jim""",Oberweis,R,D,42.69%,,2014
IL,S4IL00479,,Sharon,Hansen,LIB,D,3.76%,,2014
IL,n/a,,Roger K.,Davis,W,D,0.00%,,2014
KS,S6KS00080,(I),Pat,Roberts,R ,D,53.15%,W,2014
KS,S8KS00227,,Greg,Orman,IND,D,42.53%,,2014
KS,S4KS00143,,Randall,Batson,LIB,D,4.33%,,2014
KS,S4KS00135,,Chad,Taylor,D,D,0.00%,,2014
KY,S2KY00012,(I),Mitch,McConnell,R,D,56.19%,W,2014
KY,S4KY00091,,Alison Lundergan,Grimes,D,D,40.72%,,2014
KY,S4KY00182,,David M.,Patterson,LIB,D,3.08%,,2014
KY,S4KY00208,,Robert Edward,Ransdell,W,D,0.00%,,2014
LA,S6LA00227,(I),Mary L.,Landrieu,D,D,42.08%,,2014
LA,S4LA00107,,"""Bill""",Cassidy,R,D,40.97%,W,2014
LA,S4LA00123,,Brannon Lee,McMorris,LIB,D,0.89%,,2014
MA,S4MA00028,(I),Edward J.,Markey,D,D,61.87%,W,2014
MA,S4MA00234,,Brian J.,Herr,R,D,37.98%,,2014
MA,n/a,,,All Others,W,D,0.15%,,2014
ME,S6ME00159,(I),Susan M.,Collins,R,D,68.46%,W,2014
ME,S4ME00071,,Shenna,Bellows,D,D,31.50%,,2014
ME,S4ME00105,,,Others,W,D,0.04%,,2014
MI,S4MI00355,,Gary,Peters,D,D,54.61%,W,2014
MI,S4MI00363,,Terri Lynn,Land,R,D,41.33%,,2014
MI,S4MI00371,,Jim,Fulner,LIB,D,2.01%,,2014
MI,S2MI00243,,Richard A.,Matkin,UST,D,1.20%,,2014
MI,S4MI00413,,Chris,Wahmhoff,GRE,D,0.84%,,2014
MI,S4MI00405,,Jeff,Jones,W,D,0.00%,,2014
MN,S8MN00438,(I),Al,Franken,D,D,53.15%,W,2014
MN,S4MN00346,,Mike,McFadden,R,D,42.91%,,2014
MN,S4MN00437,,Steve,Carlson,IDP,D,2.40%,,2014
MN,S4MN00445,,Heather,Johnson,LIB,D,1.50%,,2014
MS,S8MS00055,(I),Thad,Cochran,R,D,59.90%,W,2014
MS,S4MS00138,,Travis W.,Childers,D,D,37.89%,,2014
MS,S4MS00062,,Shawn,O'Hara,REF,D,2.21%,,2014
MT,S2MT00096,,Steve,Daines,R,D,57.79%,W,2014
MT,S4MT00159,,Amanda,Curtis,D,D,40.07%,,2014
MT,S4MT00142,,Roger,Roots,LIB,D,2.15%,,2014
NC,S4NC00162,,Thom,Tillis,R,D,48.82%,W,2014
NC,S8NC00239,(I),Kay,Hagan,D,D,47.26%,,2014
NC,S2NC00257,,Sean,Haugh,LIB,D,3.74%,,2014
NE,S4NE00090,,Ben,Sasse,R,D,64.34%,W,2014
NE,S4NE00140,,Dave,Domina,D,D,31.49%,,2014
NE,S4NE00124,,Jim,Jenkins,BP,D,2.94%,,2014
NH,S0NH00219,(I),Jeanne,Shaheen,D,D,51.46%,W,2014
NH,S4NH00120,,Scott P.,Brown,R,D,48.21%,,2014
NJ,S4NJ00185,(I),Cory,Booker,D,D,55.84%,W,2014
NJ,S8NJ00012,,Jeff,Bell,R,D,42.33%,,2014
NJ,S4NJ00318,,Joseph,Baratelli,LIB,D,0.89%,,2014
NJ,S4NJ00326,,Hank,Schroeder,EG,D,0.31%,,2014
NJ,S8NJ00418,,Jeff,Boss,IND,D,0.24%,,2014
NJ,S2NJ00460,,Martin Eugene,LaVergne,DRP,D,0.21%,,2014
NM,S8NM00184,(I),Tom,Udall,D,D,55.56%,W,2014
NM,S4NM00100,,Allen E.,Weh,R,D,44.44%,,2014
OK,S4OK00083,(I),Jim,Inhofe,R,D,68.01%,W,2014
OK,S4OK00307,,Connie,Johnson,D,D,28.98%,,2014
OK,S4OK00372,,Mark T.,Beard,IND,D,3.16%,,2014
OR,S8OR00207,(I),Jeff,Merkley,D,D,55.73%,W,2014
OR,S4OR00198,,Monica,Wehby,R,D,36.87%,,2014
OR,S4OR00222,,Mike,Montchalin,LIB,D,3.07%,,2014
OR,S4OR00263,,Christina Jean,Lugo,PG,D,2.22%,,2014
OR,S4OR00255,,James E.,Leuenberger,CON,D,1.66%,,2014
RI,S6RI00163,(I),John F.,Reed,D,D,70.58%,W,2014
RI,S4RI00044,,Mark S.,Zaccaria,R,D,29.25%,,2014
SC,S4SC00240,(I),Tim,Scott,R,D,61.12%,W,2014
SC,S4SC00307,,Joyce,Dickerson,D,D,37.09%,,2014
SC,S4SC00109,,Thomas,Ravenel,PET,D,3.84%,,2014
SC,S2SC00079,,Victor,Kocher,LIB,D,2.73%,,2014
SC,S4SC00364,,Brad,Hutto,WF,D,1.95%,,2014
SC,S4SC00356,,Jill,Bossi,AM,D,1.75%,,2014
SD,S4SD00049,,Mike,Rounds,R,D,50.37%,W,2014
SD,S4SD00056,,Rick,Weiland,D,D,29.51%,,2014
SD,S8SD00024,,Larry,Pressler,IND,D,17.09%,,2014
TN,S2TN00058,(I),Lamar,Alexander,R,D,61.87%,W,2014
TN,S4TN00351,,Gordon,Ball,D,D,31.87%,,2014
TN,S4TN00492,,Joe,Wilmoth,CON,D,2.63%,,2014
TN,S2TN00355,,Martin,Pleasant,GRE,D,0.91%,,2014
TN,S4TN00427,,"Tom, Jr. ",Emerson,IND,D,0.81%,,2014
TX,S2TX00106,(I),John,Cornyn,R,D,61.56%,W,2014
TX,S4TX00516,,David M.,Alameel,D,D,34.36%,,2014
TX,S4TX00573,,Rebecca,Paddock,LIB,D,2.88%,,2014
TX,S4TX00557,,"Emily ""Spicybrown""",Sanchez,GRE,D,1.18%,,2014
TX,S4TX00581,,Mohammed,Tahiro,W,D,0.02%,,2014
VA,S6VA00093,(I),Mark R.,Warner,D,D,49.15%,W,2014
VA,S4VA00155,,Ed W.,Gillespie,R,D,48.34%,,2014
VA,S4VA00189,,Robert C.,Sarvis,LIB,D,2.43%,,2014
WV,S4WV00159,,Shelly Moore,Capito,R,D,62.12%,W,2014
WV,S4WV00183,,Natalie,Tennant,D,D,34.46%,,2014
WV,S4WV00266,,John S.,Buckley,LIB,D,1.63%,,2014
WV,S2WV00070,,Bob Henry,Baber,MTP,D,1.21%,,2014
WV,S4WV00274,,Phil,Hudok,CON,D,0.57%,,2014
WV,S4WV00308,,Alex Wolf,Weinstein,W,D,0.00%,,2014
WY,S6WY00126,(I),Mike,Enzi,R,D,72.19%,W,2014
WY,S4WY00097,,Charlie,Hardy,D,D,17.45%,,2014
WY,S4WY00105,,Curt,Gottshall,IND,D,7.90%,,2014
WY,S4WY00154,,Joseph S.,Porambo,LIB,D,2.18%,,2014
AZ,S2AZ00141,,Jeff,Flake,R,O/D,49.23%,W,2012
AZ,S2AZ00232,,Richard,Carmona,D,O/D,46.20%,,2012
AZ,S2AZ00299,,Marc,Victor,LIB,O/D,4.55%,,2012
AZ,S2AZ00307,,Stephen,Watts,W,O/D,0.01%,,2012
CA,S0CA00199,(I),Dianne,Feinstein,D,O/D,62.52%,W,2012
CA,S2CA00641,,Elizabeth,Emken,R,O/D,37.48%,,2012
CA,S4CA00357,,Masha,Feinland,PAF,O/D,0.00%,,2012
CA,S8CA00283,,Gail K.,Lightfoot,LIB,O/D,0.00%,,2012
CA,S4CA00332,,Don J.,Grundmann,AIP,O/D,0.00%,,2012
CT,S2CT00132,,Christopher S.,Murphy,D,O/D,54.82%,W,2012
CT,S0CT00151,,Linda E.,McMahon,R,O/D,39.99%,,2012
CT,S2CT00223,,Paul,Passarelli,LIB,O/D,1.66%,,2012
CT,S0CT00276,,Matthew,Coleman,W,O/D,0.42%,,2012
DE,S8DE00079,(I),Thomas R.,Carper,D,O/D,66.42%,W,2012
DE,S2DE00064,,Kevin,Wade,R,O/D,28.95%,,2012
DE,S2DE00080,,Alexander,Pires,IDE,O/D,3.83%,,2012
DE,S2DE00098,,Andrew Richard,Groff,GRE,O/D,0.80%,,2012
DE,S2DE00106,,Richard Thomas,Ruzicka,W,O/D,0.00%,,2012
FL,S8FL00166,(I),Bill,Nelson,D,O/D,55.23%,W,2012
FL,S2FL00334,,Connie,Mack,R,O/D,42.23%,,2012
FL,S2FL00359,,Bill,Gaylor,NPA,O/D,1.54%,,2012
FL,S2FL00383,,Naomi,Craine,W,O/D,0.00%,,2012
HI,S2HI00106,,Mazie,Hirono,D,O/D,62.60%,W,2012
