state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
WV,2006,1727585,64932,3630,12737,19028,897307,930605,21176,82396,103744,111958,120417,119150,111694,109983,118523,127919,140878,141065,135802,99102,82672,67806,58431,42351,32845
OR,2004,2965831,70447,49691,139817,343677,1769086,1800377,44391,180127,226474,246098,248790,249676,234034,245397,238490,263910,273353,268636,223509,165124,124844,104546,93736,74169,64159
WY,2006,460747,5216,11937,4334,40433,265306,257361,7416,27331,32939,34764,38760,40907,34117,30737,31309,35236,42386,42001,36156,25298,19182,15109,12379,8919,7721
RI,2016,785348,69532,5362,38832,157352,513081,543345,10846,43862,55833,59854,73110,79252,75560,67547,62710,60236,69949,76808,77956,68939,57038,39895,27685,20986,28360
OR,2014,3132322,91618,54865,196933,492633,1964128,2004243,45731,185591,240857,240015,244174,269147,267387,276572,259385,255779,245400,265430,273738,265409,219974,153665,103335,73033,83749
MS,2006,1729634,1072247,13635,25028,64434,1408665,1496313,41608,163060,201432,215913,224205,216848,192860,180945,188571,204690,212432,195721,177137,131359,109081,87141,71007,49247,41721
ME,2010,1267056,18874,9829,14981,16990,649793,677937,13287,55962,73855,78772,87934,79580,72811,71979,78949,91050,106961,110951,102976,90621,65532,47830,38892,30457,29331
NC,2000,5710371,1759120,99853,127061,385209,3962580,4119034,112027,427839,560391,554863,541400,585665,599470,613180,654661,634719,574795,521184,403424,325509,283137,251454,202437,129495,105964
AR,2000,2124914,423762,18480,23628,87804,1307573,1371015,36428,144958,186221,193693,199484,183343,175347,175928,199608,198318,183057,169431,140326,117942,104943,93071,76694,53063,46733
CA,2010,15482061,2365923,208345,5207258,14069098,18553604,18779081,495643,2034737,2505057,2584220,2809126,2786915,2749536,2585372,2564072,2613411,2683264,2572187,2220443,1851948,1317164,979260,767724,605475,607131
WV,2004,1721854,62738,3593,12052,16201,889411,927027,21337,82239,103541,115103,119335,123968,106941,114915,117814,132707,142836,139283,121776,94702,80881,67267,59015,41085,31693
WI,2002,4736958,329381,49281,105546,223996,2693465,2751697,68442,276455,365759,405387,416509,377978,318159,367381,409753,449471,417670,363810,282950,216927,181790,170366,147535,109692,99128
WA,2016,5211799,340969,111841,716391,907000,3641400,3646600,91223,364116,459773,443761,443583,488236,551565,529507,493535,447958,471380,476530,491524,454246,390413,266094,175059,117008,132489
OH,2010,9465056,1475970,28468,214726,356763,5635100,5905883,138811,579723,745281,773939,821578,767021,718941,693974,712027,761103,850244,886764,791441,673399,480513,372965,296957,243967,232335
TX,2010,11617505,2982351,92565,1034789,9517100,12521855,12722455,379451,1550476,1930848,1888634,1883562,1828260,1858710,1772023,1762349,1703768,1757886,1682760,1435432,1188395,860087,624495,478802,349395,308977
NE,2004,1500697,79445,15307,29254,124667,865386,883984,25850,98428,118118,127717,133763,132785,107354,113300,112030,131734,130531,118565,94862,72203,59238,53243,48016,36783,34850
CT,2008,2603679,350592,9167,135365,446776,1724830,1820749,39499,166037,223384,243282,254565,220127,206261,202930,239823,274541,292469,273577,227680,188810,137635,102945,92130,78571,81313
MS,2004,1741276,1055071,13088,23841,55734,1398895,1490115,41819,164800,201879,221924,222108,226445,183472,189778,189697,212633,209966,186646,160542,125981,105233,85551,70627,49357,40552
LA,2016,2792811,1529987,32306,90410,236152,2289370,2392296,62380,248221,311162,304838,302934,326947,348849,332809,304792,269453,284453,307364,318407,284614,239187,162722,115822,79251,77461
AZ,2008,3741412,252747,268709,186628,1830866,3125084,3155278,95576,378235,440171,442701,458137,435282,452605,406053,422417,409294,424958,400520,361835,320414,259777,202209,159753,115594,94831
DC,2010,215416,308658,1727,23481,55901,285938,319245,7581,25688,26155,24946,39817,63386,70580,56221,43243,38046,38620,37274,34496,30057,21596,15548,11824,9689,10416
MT,2008,872393,5973,63273,7403,27373,489938,486477,12327,48351,60005,61949,69350,68926,61420,55003,56457,60335,74662,78510,72446,56343,43235,32212,25878,19820,19186
AZ,2006,3671941,226891,262858,165488,1701963,3003007,3026134,94201,365546,417038,433201,435349,421518,441876,396538,408786,417023,411281,373257,350991,282272,232855,191110,156984,112528,86787
AR,2008,2190638,451963,21962,39760,170231,1410334,1464220,40784,156369,192784,194526,204132,195965,195672,175268,185513,188901,204422,197340,178827,156485,126402,98250,76674,56188,50052
CT,2000,2673358,315502,9029,90036,323852,1652459,1759318,43184,179997,243110,242756,217105,188617,200230,250194,289835,290915,254260,230442,178114,132266,117244,113864,101283,73756,64605
MS,2002,1734399,1042091,12312,21955,47924,1383269,1475412,40624,163867,206467,220758,224321,224367,181198,190967,199566,213738,202795,179612,146763,118238,99905,86597,69974,47842,41082
WA,2004,4835719,240112,101568,448099,553147,3070830,3107815,81942,319941,404440,446477,442830,442838,405034,430427,444113,492289,488555,443785,370437,266530,195526,159585,139356,110361,94179
NH,2010,1228240,17173,3605,30931,36923,649638,667234,13021,56415,77436,84196,93758,84636,73495,71561,80997,96558,112852,112724,96992,82790,57725,39861,31787,25080,24988
CA,2006,15819429,2347553,214286,4763829,12876105,17923731,18097471,520189,2019232,2408374,2734680,2743849,2645442,2657935,2512058,2689290,2719455,2658317,2351923,2037929,1449951,1099377,893496,765946,600752,513007
MD,2000,3330225,1504562,15945,229147,231155,2565003,2746031,70434,282656,389235,394250,357207,317402,341001,405469,463650,452990,401986,359884,270584,202843,168390,153278,129075,83370,67330
HI,2006,285884,29975,3670,886038,104164,657380,652351,17796,66580,76190,85712,86486,98038,93138,82917,88861,93395,96670,95208,87025,64908,47707,39473,36572,28913,24142
WI,2012,4781835,385479,55083,148828,354952,2843475,2882702,67380,281683,367403,373521,390677,394745,365511,366237,331393,366606,407725,442185,404643,341987,255876,184571,143020,116873,124141
LA,2000,2818339,1458636,26066,59847,108997,2164907,2306978,64596,251754,334124,348959,366564,327788,293761,304326,341618,349404,317304,273221,209857,170890,147829,134864,107141,68999,58886
PA,2008,10217430,1370814,21046,345406,657589,6138990,6473295,147162,582469,749392,807692,922093,844073,775864,705068,807688,885181,975594,962233,838606,679758,523050,418486,377806,318603,291467
MD,2008,3227481,1688539,17025,321545,430375,2749177,2935788,75041,291074,360071,382653,413496,380503,384464,351178,397531,436039,459719,422855,361613,290470,210752,152471,125355,98326,91354
SC,2010,3004512,1309580,18271,66891,236689,2255116,2380827,58445,243231,295738,297934,327063,334795,304580,289354,294917,305001,332305,327649,304921,283098,217261,155021,113904,79291,71435
IL,2006,8332730,1890330,24643,556025,1840227,6203933,6440022,169033,684749,847980,913671,921587,882932,885291,852538,896374,938217,964149,862914,756726,544441,422623,343777,305729,237652,213572
MI,2016,7587810,1450297,70686,327125,492382,4884746,5043554,113865,460558,591865,625189,668075,707150,658551,593158,583466,573796,648400,699694,732231,660547,557306,383629,268622,188909,213289
VA,2014,5363498,1646138,24864,555556,727316,4089999,4227373,101753,409951,520865,522530,536530,600264,583143,580177,533370,556523,570458,611815,565600,477264,397276,282532,193952,135364,138005
FL,2016,11490338,3306283,59807,629036,5126975,10070151,10542288,224910,901226,1143007,1154192,1189418,1273582,1389757,1293668,1236495,1227794,1326511,1429799,1421413,1305750,1272875,1004709,742246,519108,555979
NJ,2000,5635271,1142073,15091,509283,1128903,4090509,4340112,111758,452034,601770,593328,526522,482953,542142,644279,725877,709273,614689,553333,426133,332160,292481,281108,240567,163504,136710
PA,2014,10055460,1441522,22441,428966,842176,6256503,6534062,141782,573427,740821,768417,836337,874541,851771,790992,725531,785648,854160,947570,947536,818315,663722,488555,364063,286619,330758
OK,2010,2688907,306616,355372,75416,333292,1860213,1899390,52169,212541,259889,254534,263538,270652,265847,242559,232005,228865,259624,264826,237557,206257,159941,121651,95179,69531,62438
FL,2014,11256436,3194658,57694,583793,4796160,9720771,10167970,220051,869659,1123821,1136030,1171076,1314698,1295065,1235675,1163627,1259804,1306269,1429578,1345524,1225359,1156243,924576,687888,498986,524812
NH,2008,1231423,16187,3702,29392,35202,649330,666576,13850,59103,77980,87644,96792,83475,71946,71745,89380,102737,115521,107792,92063,74520,52450,38434,31890,24806,23778
NE,2002,1499790,75855,14895,26758,110994,853489,874803,24595,94599,119449,128853,136692,125788,106944,112864,119511,134101,127799,112291,85926,66681,58349,55307,47988,36083,34472
TX,2002,11169173,2505524,81953,688826,7244849,10775672,10914653,361300,1349732,1639044,1701750,1679252,1669665,1576140,1643508,1639570,1693467,1529514,1294259,1020576,759080,627669,539747,435031,292483,238538
WA,2010,5021301,284870,106326,569088,761641,3358847,3384379,87634,353347,430096,438639,459476,463798,481387,456495,446716,461407,490771,495994,455906,386581,273820,188924,142381,111565,118289
WY,2010,490054,5986,12745,5193,50535,287811,276702,7806,32384,37385,35988,37868,40413,41303,36686,33765,33167,39018,43960,41167,33001,23170,16711,12496,9474,8751
AL,2012,3248875,1282836,28754,64925,190570,2336346,2479614,58440,240477,305756,319572,323244,352325,310563,306809,292472,316509,327862,347168,327770,287603,232160,169972,126665,90381,80212
VT,2014,593610,9216,2665,10552,10941,309355,317629,6138,24621,32944,35237,43987,46791,35882,36154,34142,37319,41944,49537,50633,45398,36928,25508,17016,12669,14136
AK,2016,477964,32475,119924,59932,51599,388132,353762,10938,43177,53076,50046,48000,57364,62798,57655,49056,43089,45276,48891,50922,44400,32828,19559,11555,6844,6420
MI,2012,7629935,1451694,69227,280101,456281,4854163,5033075,113026,465867,619237,659179,699783,718648,588602,587008,565548,652803,697755,754105,714544,608523,465563,331600,245391,196556,203500
NC,2014,6458418,2193237,119955,280738,882051,4830136,5104263,119531,485005,645267,652985,650877,699138,654566,639583,626337,679683,670625,701058,660353,585838,505862,362352,251597,173435,170307
MT,2000,818400,3713,57866,5603,18191,450348,453425,10821,43996,61650,69500,71591,58669,50620,52171,66279,75508,73805,62267,47484,38124,32501,29991,24776,18545,15475
MA,2014,5073413,491973,15227,437144,732154,3273032,3476879,71846,292449,376846,398727,459289,495428,482353,447562,404981,432299,475136,511407,479588,405429,331418,232097,166004,130628,156424
KY,2006,3728203,332902,8981,46973,102180,2070143,2149096,56206,217348,274947,285818,291818,290187,282467,272602,292945,314527,324805,299799,274714,202771,162739,129847,106045,76666,62988
MI,2004,7906061,1467546,67379,233179,381150,4937386,5117929,129338,525153,685321,766696,740672,693534,593967,670625,703379,786809,789495,698972,580661,443650,341588,292404,262656,192988,157407
ND,2000,593207,4704,32040,4238,7834,320468,321555,7700,31565,42674,47496,53733,50678,38359,38035,46679,51021,47600,38265,29055,24578,23067,22714,19101,14871,14832
TX,2012,11783011,3104415,96022,1134518,9953689,12935529,13136126,379736,1560328,1971805,1939961,1880612,1929872,1900354,1867664,1755524,1785726,1720413,1731854,1538068,1264880,969287,676372,499364,362768,337067
GA,2016,5588102,3283662,26873,439036,972698,5020465,5289906,130675,530164,700583,714455,715257,725796,731930,690370,686591,676379,709859,706839,665774,571037,497334,341991,228893,148309,138135
KY,2004,3684793,322960,8860,42281,87207,2034050,2112051,55011,216094,270177,287818,284360,302230,266871,285333,293116,322232,317466,286139,247717,192768,153922,126759,104236,74621,59231
WI,2008,4780120,366187,53061,130712,310916,2798728,2842268,72003,285918,364638,378544,410087,390094,363474,338218,361620,399370,447417,423776,366886,283089,213709,167097,144492,116703,113861
OR,2006,3012570,74677,50753,151364,381519,1817766,1853117,46380,182254,230153,242105,255894,250395,247606,241351,251158,254628,273664,276739,254585,182251,136489,107453,92923,75798,69057
WA,2012,5067538,303192,107894,609887,806715,3436520,3458706,87087,357177,439773,438002,442180,488748,489341,483660,440558,470839,467556,497170,475483,409530,314851,208959,148109,112733,123470
OH,2002,9597937,1375073,28317,161242,245320,5548504,5859385,146103,600084,782151,841617,812172,774084,690527,772568,826781,915016,871696,774433,609320,479575,399074,374193,326766,228744,182985
OR,2000,2917568,64603,48335,120943,278259,1701061,1728647,44749,178398,233577,243176,245470,232059,232532,237151,254933,271531,272862,238121,174117,132050,112344,106670,95268,66871,57829
IL,2012,8203204,1892230,25614,659443,2090307,6316333,6554465,158542,653513,847765,864786,889424,899311,895597,889326,822871,870514,889750,934264,850743,709260,536647,387809,291867,231174,247635
GA,2008,5476294,2893777,24069,315702,795001,4647859,4856984,142686,557645,677476,678453,707536,664222,681298,649244,719274,708783,707031,641590,549947,447320,326491,235231,176787,125789,108040
KS,2004,2247120,167767,27532,61830,230124,1351977,1382396,38836,153914,189166,200231,209161,210364,164576,176147,175638,208227,207160,183650,149143,112414,90882,80878,73270,57584,53132
MA,2002,5261819,381834,14712,285026,473815,3097770,3319436,79001,313592,412366,444119,434511,421862,415083,475323,519060,531345,484600,429219,350766,251347,212118,202865,183610,136918,119501
OR,2002,2950944,68380,49288,131580,313232,1742298,1771126,44936,179913,229092,248112,247064,246588,230702,247580,243943,269597,277392,255384,199608,145538,116119,105174,94817,71365,60500
MN,2012,4482314,321098,65072,248279,263522,2672949,2707336,68214,281486,360897,353060,362570,358626,368555,368010,320136,346783,375685,409813,369130,307333,227638,164556,124843,100440,112510
OR,2016,3200829,98399,56649,215017,522571,2027010,2066455,46900,188900,242871,241512,246356,267766,290171,284671,277479,254420,258826,256742,274613,273360,247233,168414,113167,74810,85254
OH,2012,9419823,1493716,28879,230735,377686,5647472,5903367,137042,562321,735716,766215,788358,792352,722014,713171,671004,756464,797048,874223,824010,705639,531663,393238,299153,238157,243051
VA,2016,5355375,1673570,25343,591516,766004,4136814,4274994,101443,409058,519056,522183,540789,589801,589907,582153,557707,528218,566117,596267,579454,500911,431248,303276,208758,140135,145327
CA,2014,15434178,2411870,209427,5712997,14912338,19212619,19468191,495820,2004597,2554878,2525438,2618837,2923729,2911114,2798328,2555156,2596815,2569435,2647615,2445885,2057278,1656899,1165860,844281,622106,686739
SD,2010,698764,13090,73282,8676,22513,408538,407787,11782,48025,55831,54012,57841,57588,55703,50350,45715,47289,57055,59444,54651,44213,32150,25678,21661,18019,19318
SC,2008,2949607,1287693,17816,61856,212024,2203949,2325047,63320,236411,290385,293622,333269,319659,302815,277774,304406,311670,329178,318795,293738,256976,197044,145779,109312,78248,66595
ME,2002,1254496,10348,8325,11326,11465,631734,664226,13514,56748,78792,92614,92860,74110,67460,83530,98264,110375,106861,97496,78254,58414,50294,46052,38793,27340,24189
MN,2002,4407314,212955,59233,170454,168979,2487730,2531205,66357,267095,345961,378458,381188,346239,311784,351308,385410,422678,384283,329404,254100,191828,154712,140951,123702,94139,89338
NV,2006,1494045,202670,27051,185463,613429,1278665,1243993,37761,145846,167763,177274,167002,168371,189789,178203,189758,190146,182663,166621,157941,123105,94764,71394,54179,35661,24417
OK,2000,2642372,274590,302620,53688,181095,1697872,1756493,47989,187983,243036,252853,270083,248181,227038,222361,258091,264936,242120,215138,174245,143741,128538,113679,94274,62673,57406
NE,2016,1534963,101345,17463,50025,203320,950671,956445,26640,106169,132831,130961,129683,139759,123108,129838,121875,108653,109873,119810,127045,114127,95428,64133,47903,36458,42822
DE,2008,595577,189524,3178,28870,66725,428393,455481,11520,44867,55129,57026,65226,60935,57778,51602,58056,62921,67105,63216,55460,49317,38796,29378,23800,17146,14596
AL,2004,3158508,1189488,25436,44013,113284,2192872,2337857,58927,237043,297554,326228,325095,326749,283864,299896,305558,342253,340768,307605,270380,214983,176683,147028,120322,84290,65503
MO,2002,4766006,661990,29194,79807,137828,2764349,2910476,74559,297205,384330,418246,415332,398394,346391,379635,411957,452140,418801,369133,305877,243363,205540,184706,157860,112292,99064
VA,2012,5342827,1618586,24307,519472,686856,4025632,4166416,102269,410333,519618,518403,542827,589826,577509,562676,521765,572137,598460,606673,544936,462110,364060,252232,181114,133555,131545
NC,2010,6318910,2089219,115801,230152,804833,4656488,4902427,122585,508252,635200,633393,659316,664351,628226,621429,655487,669976,698589,672350,605195,542767,406043,296296,224696,165878,148886
HI,2000,264832,27242,2880,834127,84438,610025,603494,15708,62379,84497,83278,81028,84531,83391,87066,95554,95410,90632,81366,60944,46620,42820,42440,35501,22611,17743
GA,2002,5259775,2484612,20892,219692,523285,4180322,4327934,131046,498433,609905,643694,610814,633422,613550,679291,691745,684050,615253,542004,429690,312985,247116,202773,161109,111766,89610
IA,2002,2712768,73089,9037,42554,96786,1442784,1491450,37248,150206,194909,211748,223448,212809,167260,185993,200322,226710,219091,194524,152890,122646,106736,100635,90715,69947,66397
HI,2008,291186,28957,3546,897193,111331,666900,665313,18536,69318,77674,82836,86803,94464,96871,83398,88096,90431,96427,97395,90399,75104,52540,39838,35513,29678,26892
OH,2000,9624176,1344113,28102,147654,219498,5518118,5845425,149663,603741,811670,830437,819088,734584,728873,782328,879343,922677,838939,738477,556612,457704,401622,387175,326115,216776,177719
WA,2008,4967207,269580,104743,530324,690377,3269069,3293162,89220,339607,418373,433427,465642,456442,471107,427914,461482,458905,497559,487865,431835,345360,242320,174158,139859,111080,110076
NC,2012,6391174,2140591,117977,253946,842487,4742606,5003569,118938,497919,641201,647830,650726,687046,632379,633613,625430,689062,683885,688691,635982,565395,460153,321980,236249,169564,160132
SC,2016,3209448,1370153,20129,86793,274596,2407934,2553185,58245,234889,309684,306759,319048,337532,343460,311571,303965,295445,316489,335598,339107,319095,300096,213190,141687,91111,84148
LA,2008,2736945,1427738,29423,70614,170866,2165956,2269630,66929,242837,298906,305089,331587,332518,323053,269714,280917,296066,329184,321251,277450,222222,167737,128055,103217,76169,62685
MA,2004,5190250,395065,14714,305963,506289,3097647,3314634,76350,307528,395380,438525,450717,428705,413687,439126,486516,527700,500324,439110,378338,279369,213805,193253,179252,139877,124719
WY,2012,494034,9013,13085,5816,54817,294429,282336,7514,31580,39301,36547,37124,42650,41009,39847,34111,34201,35628,42931,43027,35708,25663,17820,12763,10001,9340
NJ,2016,5051814,1199653,16788,889546,1786668,4367744,4576725,102267,419065,545066,564801,570777,569519,578980,583084,576986,569211,629133,667158,650366,545444,452533,324086,229631,167636,198726
DE,2012,599852,201627,3314,33702,78498,444135,472858,11141,44805,56810,57103,61582,66003,59580,57369,52161,59314,65203,67402,62230,55723,47167,33941,24473,18160,16826
VT,2012,595753,8470,2683,9471,10067,308939,317505,6079,24942,34067,36337,45427,44575,35696,35457,33877,40025,45700,51553,50092,44145,33611,22379,16243,12766,13473
VT,2004,597293,5436,2801,7046,7344,304840,315080,6540,26504,36348,43881,48941,42773,30992,37544,42296,51100,52546,48752,41230,30214,22349,18792,16263,12106,10749
NC,2004,5887613,1862849,105429,162897,534364,4177082,4376070,117211,466231,555015,600811,591449,595941,564173,629605,627250,668873,634152,571873,505021,389005,309092,253034,210468,148133,115815
IA,2004,2709610,78706,9308,46239,109772,1454747,1498888,38065,151340,192347,210069,220413,221553,168708,180717,188009,222216,222716,204249,167070,130741,109617,96768,90130,70756,68151
MS,2000,1739266,1036742,11723,20590,40032,1375800,1472553,41567,162190,215355,219609,233528,214598,190989,189113,211577,213731,193206,171740,133015,114117,98055,87507,68758,46679,43019
KS,2014,2265036,191032,28622,86601,328069,1443022,1456338,38973,159863,203617,200664,199850,218852,189826,195894,174244,170223,170785,198529,194743,168216,131600,94180,70466,55321,63514
KS,2008,2255204,177845,28093,70190,276744,1392513,1415563,41248,158238,198314,195555,206346,207304,188733,172155,176599,179723,206631,201782,172798,135325,100982,80550,70536,57493,57764
SC,2000,2678834,1194442,13808,40669,96470,1955596,2068627,54540,209960,283789,292066,297302,284165,275154,283782,313802,311718,289774,265697,208217,167050,145859,124741,101973,64122,50512
NC,2016,6539036,2243994,121630,309907,932221,4932952,5213836,120842,485468,640169,652704,669708,696063,689054,646400,644334,645903,691010,694740,683839,617089,550743,391070,266915,182927,177810
ND,2008,593341,8452,36294,6922,12560,331438,326131,8610,33617,38530,40508,48731,59773,44815,37844,37068,39601,48213,49362,42662,32450,24409,20930,18822,15415,16209
MO,2016,4921976,749262,33295,137991,250476,2992035,3100965,74205,299753,384685,389087,395936,421888,412718,400150,381170,349868,375525,414234,433651,382109,327310,232663,169216,120535,128297
PA,2004,10288625,1302524,19610,289610,510353,6019973,6390749,144015,578311,754754,867742,890614,810936,716593,760151,850070,967730,981476,875890,742403,579898,473218,435144,412662,312628,256487
