state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
AL,2002,3148576,1173950,24534,38850,94179,2165719,2314370,58963,237083,302632,325008,320749,322812,281003,302668,321114,345023,330998,298908,248643,198880,170495,147964,119599,81123,66424
KY,2008,3767155,344113,9174,51074,118362,2106346,2183532,58101,223366,280030,283043,298442,286571,287967,270962,293111,300901,324724,313357,279013,229628,176939,134240,105001,77903,66579
LA,2002,2810463,1472334,27151,63264,124055,2181743,2315524,64468,254357,318495,344486,356661,351069,284105,300674,321883,347575,331266,289887,230446,180351,148652,132763,108526,73494,58109
MO,2010,4913942,723241,30915,114028,213992,2937438,3058680,75983,313578,390324,397075,422081,414840,403725,375012,365816,380625,441769,444903,392601,336648,257855,194426,155266,119069,114522
CA,2002,16299607,2346002,222216,4298223,11705795,17373381,17498462,514905,1977376,2607616,2739123,2515883,2567429,2503790,2721499,2744578,2755721,2484389,2137942,1676464,1233023,1008072,899390,783379,554814,446450
WI,2000,4718342,315377,48067,96842,195371,2654764,2719235,68190,274153,378057,404990,408587,359318,331605,372507,433526,441231,400058,337938,254472,206020,181586,173017,146959,105684,96101
VA,2006,5207220,1522237,22768,405404,516096,3765250,3908475,102331,400461,482333,516048,545414,561301,514211,509756,561861,604814,606039,542719,489786,356344,266718,208653,172542,127371,105023
PA,2000,10385845,1245251,17964,236739,398374,5932174,6351999,142568,583401,822683,866145,852407,751274,726167,825434,946077,997325,912495,803362,623299,513368,478683,487367,422459,291477,238182
NY,2010,11463312,2925011,69615,1511697,3433005,9391350,10011290,235854,924015,1161870,1208603,1360082,1415787,1385843,1285408,1247446,1352681,1455853,1423455,1244259,1075489,777802,589212,473418,391748,393815
IA,2000,2728456,68382,8733,40082,83414,1437292,1491775,37668,150488,201543,211121,227104,204722,175799,185813,216792,227535,213671,181708,139868,118855,106908,104340,91600,68084,65448
MA,2010,5095870,446852,14765,374496,633541,3175770,3389754,72338,295116,384838,404926,466393,478718,444745,405961,415343,467256,514747,498477,435741,374359,266845,192981,161990,138417,146333
AL,2000,3153172,1162877,23744,35364,77016,2149338,2302835,59617,235568,313178,321372,325612,309170,298679,301179,338693,345820,316816,287948,226761,190880,167835,148805,118478,78201,67561
MA,2008,5094061,427233,14670,348255,584748,3128237,3340730,74335,293954,384968,409756,469548,458792,428870,394280,442995,488473,514728,478565,414285,338244,242829,187230,167004,140799,139312
CT,2010,2583564,359126,9013,145381,482815,1742844,1837055,38093,163232,221868,239641,253698,229420,215202,207072,220346,260484,290556,285000,242325,204618,150578,106144,88814,77419,85389
NY,2014,11310274,2980039,70778,1691003,3666421,9566243,10152272,234890,942069,1143835,1174003,1262549,1445976,1470404,1370346,1238091,1262723,1345815,1435539,1351511,1146116,931743,669136,493082,373410,427277
CA,2004,16132029,2353224,218855,4534901,12335567,17703161,17871415,520350,2021415,2486084,2799010,2616866,2636763,2552577,2648724,2681027,2793165,2584689,2244577,1854291,1351654,1057084,893251,771676,590328,471045
IA,2008,2720719,95252,9750,53194,137819,1491195,1525539,40863,158389,197771,200663,220966,214273,191818,176850,183177,194490,222692,219888,194836,153268,119380,97936,85023,71614,72837
DE,2006,590768,179979,3074,25969,59478,416502,442766,11274,43940,53078,58289,62875,59032,57138,50735,59479,65164,66035,58677,54679,43045,34437,28343,23206,16536,13306
NE,2008,1506979,87402,16085,33209,152703,890564,905814,26398,103726,123980,122239,131223,130843,121349,112497,111717,113521,132311,127405,112383,86038,64608,53468,47080,37832,37760
NM,2014,823331,44000,186031,33545,996117,1031157,1051867,26009,108505,142919,140623,139205,151978,140426,137864,122000,121039,122401,142105,140674,128836,108744,77721,56042,38589,37344
OH,2006,9534970,1427085,28607,189973,300578,5598146,5883067,145580,580961,756475,809421,835744,759867,739109,681356,776658,840713,905412,832404,747833,528515,424089,352851,316143,243614,204468
AZ,2016,3914166,328648,293666,249816,2144775,3442895,3488176,87702,351617,454157,459024,466504,484756,484407,448721,433471,411749,421465,425432,431930,399212,387374,295446,211749,139521,136834
UT,2008,2190525,30553,29560,81659,330732,1337398,1325631,51787,205485,237313,215007,218353,228889,228012,201357,168656,148825,155797,147291,124004,97062,72562,55750,44826,33131,28922
VT,2002,594941,4589,2817,6518,6577,302483,312959,6306,26833,38334,45396,48489,39673,31566,39599,45850,52394,51691,46952,37165,26477,21214,19420,16191,11574,10318
CT,2004,2655870,334228,9188,113896,382912,1698016,1798078,41804,172643,232092,254589,242118,204471,192328,225636,263204,295746,283749,242798,211572,158717,118352,106082,98592,79235,72366
AR,2010,2206706,460566,22623,44721,187379,1434797,1487198,38216,159157,196922,198025,203226,201586,192235,184827,183058,182930,204812,202149,184983,168303,133713,101812,77964,56342,51735
TN,2000,4553231,946342,15018,63556,125572,2777586,2926133,75874,298793,394011,397123,396794,389664,400884,411888,451901,450631,415522,378483,296125,240646,204592,178461,145416,94954,81957
WA,2006,4906119,253954,102781,489101,618798,3170058,3200695,85324,324601,410681,437809,455515,451994,440940,414996,459201,476861,497631,467980,416958,296311,214379,164448,140189,112153,102782
ID,2016,1407509,16444,21798,29646,207743,843532,839608,22986,92303,122679,125126,118791,111851,111817,109744,108209,97786,98182,100427,107320,100930,89990,63750,43912,28902,28435
AL,2014,3249567,1299293,29288,69681,195385,2348033,2495181,58615,234839,306038,313669,317723,352504,316871,308608,293141,311974,311893,344696,334878,294125,250657,184486,133599,91073,83825
OH,2004,9574318,1401325,28456,176354,271798,5577840,5874411,147158,592622,763304,835264,821803,775499,709581,734942,784405,886950,898940,798392,668730,512369,414279,356252,323074,237509,191178
TN,2014,4947072,1132264,18950,119624,326753,3191830,3352833,80090,321760,417517,421558,417313,465210,432891,426193,405879,433572,431689,464690,446186,394644,340039,246238,171152,117146,110896
AZ,2012,3799198,286622,277720,214721,1971373,3256730,3292904,85356,351857,455740,452246,451222,479036,438106,434185,405865,420869,412313,426934,396403,367050,318861,239784,173466,125963,114378
IL,2010,8264397,1893847,25271,622963,2035100,6298008,6543570,163729,671060,857458,877848,920290,880569,909914,868972,851466,870186,936172,932471,812882,672925,487844,366027,288890,235850,237025
TX,2006,11348965,2768488,87077,847042,8308008,11588337,11771243,378859,1484194,1718006,1782260,1783634,1763694,1704518,1657359,1672898,1707389,1693586,1486845,1276178,920509,704964,568948,459482,329789,266468
NV,2002,1392298,160283,25202,130627,465381,1104027,1069764,32431,123857,154924,155641,135859,145611,152376,169691,170962,170224,156194,142165,124274,97944,78747,64621,49138,29789,19343
MA,2000,5291801,364026,14573,257093,433611,3064859,3296245,78850,318229,429119,433272,416959,407324,431516,492661,538597,523551,464657,415692,312133,237646,215817,211009,185194,131584,117294
CO,2014,3758258,239348,40321,182009,1129712,2684726,2664922,65842,268816,355046,353653,343180,381293,396547,396234,360742,361946,343550,372272,358869,312388,246213,163490,110088,78054,81425
OK,2006,2642622,288671,329816,64806,268175,1775397,1818693,51523,198198,241469,247289,262785,275212,239618,223686,227010,248316,265270,245396,221709,171562,138920,116032,94081,68736,57278
HI,2016,309961,37673,3661,935685,141577,717615,710942,18376,73159,87086,81715,78701,97750,105887,102016,93592,83636,87599,90672,93955,90451,81361,57649,37740,28260,38952
CO,2016,3866397,252660,42794,197475,1181219,2785818,2754727,67691,269773,353344,359675,354394,390626,426572,415837,386232,355844,359972,357751,369227,330083,277354,180426,119148,80825,85771
ND,2004,588159,6675,33939,5573,10359,323697,321008,8022,30331,39155,43684,52541,60444,35776,38231,38063,47304,49849,45090,35079,26827,23233,21061,19493,15000,15522
CA,2000,16361791,2329679,224863,4017091,11054553,16937562,17050415,492631,1998217,2717425,2587669,2459982,2402521,2538599,2691610,2812409,2681664,2345152,2021350,1477507,1152792,984993,905056,782675,507401,428324
IA,2014,2729843,119599,10178,75651,172759,1543945,1564085,39701,157469,205478,202946,213642,232423,191103,200842,182609,180024,187887,217465,215183,190714,149850,110262,85963,66191,78278
WY,2000,443846,4215,10963,3277,31999,248716,245584,6183,24707,33938,38454,42004,33627,29767,29727,36303,42348,40899,33658,25068,19733,16594,14760,11862,7882,6786
NE,2012,1523920,94681,16572,39921,180631,922358,933367,25891,105243,131901,125689,128575,132224,127117,124691,109642,111675,117945,130978,122106,104560,76661,56262,45883,37936,40746
ID,2004,1219145,9174,18307,17868,127308,698616,693186,22278,84961,102760,109000,110861,107204,90505,89633,88809,99971,99430,91946,76265,59118,46256,37245,31424,23924,20212
ND,2006,589018,7705,35203,6197,11299,326839,322583,8427,31416,38214,41869,50296,63101,37963,37575,37177,43399,49518,48076,39287,28722,23195,20929,19139,15226,15893
CO,2006,3427685,195987,36119,137326,923306,2367463,2352960,67456,267014,313990,322968,334123,343668,338467,334947,348239,358798,374525,342438,295417,199307,145142,112778,92634,69116,59396
MA,2006,5118526,409627,14645,326342,540944,3098899,3311185,74330,297454,385676,420942,465986,442959,416486,401913,466382,511005,511381,455794,411603,296941,218254,187316,173645,140329,131688
TX,2004,11215412,2584340,84128,760148,7749995,11115621,11278402,369247,1425797,1637863,1745932,1714959,1735056,1602338,1660785,1604475,1721497,1609730,1380116,1135400,841643,660214,547091,442498,313306,246076
KS,2010,2268406,184155,28582,75434,302273,1418477,1440373,40641,164892,202638,199345,204197,204934,198257,181270,171922,174327,200348,204661,183631,150581,108302,82909,69278,57027,59690
NM,2000,829104,34553,166057,21502,769988,895580,925624,26765,103687,140258,147881,145935,121615,114557,118449,139909,141996,131568,115809,87579,71873,63384,54735,43994,27764,23446
FL,2002,10779849,2498914,50685,346392,3013530,8147636,8541734,204364,786434,1013607,1119215,1066682,1040572,972896,1112664,1236573,1295548,1183444,1065035,937274,796937,738794,721741,622323,436243,339024
AL,2006,3195774,1219303,26474,49588,137842,2243501,2385480,60823,236399,303581,321867,337003,326239,302813,288248,308663,334043,348601,323309,297745,226567,184594,151454,122066,85688,69278
MS,2008,1737308,1094243,14244,27038,74973,1430851,1516955,44796,168275,203444,209833,228812,210409,201370,180595,191634,193903,211278,205665,179273,148203,115489,90202,70134,51441,43050
SD,2012,706011,16594,74577,10413,26846,419010,415431,11886,47944,58507,54298,57249,59602,56081,53865,46351,47596,52472,59893,57356,49154,35854,26311,21724,18136,20162
VT,2008,597199,7162,2745,8122,8923,307429,316722,6343,26001,34933,38963,47893,43583,34128,33614,39007,44510,51574,51933,47032,37395,26738,19504,16006,12831,12163
GA,2004,5307497,2589688,21794,247699,602574,4305728,4463524,134288,521330,610599,659778,637028,650185,619009,675927,676690,703367,646664,562196,478477,351031,262463,207114,164113,116572,92421
WI,2014,4779402,391978,55902,159981,371114,2861131,2897246,67019,274892,363659,371336,383041,407833,357987,372637,341207,348300,380438,434626,418675,360867,282187,202672,150132,113299,127570
AK,2012,483843,30868,117360,53466,45552,380878,350211,10814,44207,51951,50848,50094,58665,59058,52194,45101,47210,50412,55605,52243,40199,25659,15399,9584,6520,5326
NJ,2008,5350300,1162649,16307,717309,1464525,4241189,4469901,108724,437783,560357,592753,603910,523909,548528,548197,617501,675290,705963,646177,539846,444247,332516,253763,222177,180582,168867
ID,2006,1273279,10647,19053,20195,145495,736565,732104,23746,90953,109864,110946,113920,109168,99649,91630,93824,98164,103951,98891,87352,65865,51523,39955,32437,24730,22101
ND,2016,652161,24303,41378,12572,27538,388974,368978,11505,43731,49799,45468,48352,68568,59011,54542,46950,39464,40168,45387,50079,44929,35230,23980,18016,14626,18147
WI,2006,4769835,353373,51649,122137,280661,2765379,2812276,70529,280361,359682,388191,414706,399903,340183,337939,376007,425318,446692,405963,350824,250399,196194,163347,148427,114663,108327
FL,2012,11140497,3091764,56495,547514,4507886,9454982,9889174,214833,860067,1098009,1136068,1174778,1313745,1231100,1179412,1139353,1268588,1358008,1392189,1281053,1182557,1063860,829545,639188,494855,486948
WV,2014,1729185,72677,3917,16180,26555,913446,935068,20304,82365,105097,107428,111067,125192,107690,110862,111092,118033,119411,131610,138714,131130,111032,79239,58884,40213,39151
WA,2000,4764438,219098,99011,381012,446953,2942778,2967734,78825,315943,424463,437007,429985,393423,401043,437910,482547,492746,457157,395872,287563,212256,176025,160968,143112,99006,84661
AZ,2004,3520787,198399,254280,137932,1541006,2816798,2835606,89116,340915,393245,418167,402508,411699,398820,389610,382433,409227,382225,344145,306685,252985,212176,182719,151003,106529,78197
TN,2008,4815428,1057177,17604,94639,262563,3044296,3203115,84037,322932,410143,415822,437444,413168,422783,393482,434884,440567,465046,449052,400756,340299,262563,197317,152105,110739,94272
ME,2000,1241336,8204,7927,10184,9421,621527,655545,13567,57102,82669,92584,89792,70134,71206,85547,103733,109076,102527,91541,68919,54962,49998,46067,38198,25998,23452
MD,2014,3198674,1805969,17785,392821,552046,2890271,3077024,73226,295927,374154,376355,387333,403513,416917,407887,373370,392688,422062,455643,419252,347037,280917,196651,134951,98913,110499
AK,2002,445472,25932,106467,34523,29943,332704,309633,9695,37742,49946,57449,53653,45284,41155,45497,50767,57009,56694,46150,32190,20238,13659,10456,7443,4325,2985
CO,2008,3515168,205308,37067,147288,984899,2450670,2439060,67363,275494,333114,324735,340380,343707,360077,340567,359009,344601,376847,360056,311073,238572,164500,118969,94493,71275,64898
KS,2016,2254581,192710,28896,92621,338481,1447759,1459530,38202,156105,201623,199123,200516,216515,190709,193897,183184,163905,169490,184833,195872,176322,146039,98957,72485,54708,64804
MN,2004,4418461,234694,60303,183961,190294,2523676,2564037,70060,270473,339509,372735,381756,361326,323044,335524,360752,418886,400062,350067,278483,210817,162247,138603,123618,96700,93051
SC,2014,3124839,1347819,19332,79060,257380,2345750,2482680,57416,232839,307904,304374,310757,350355,319602,306396,288559,307119,311376,337978,327849,304010,271215,195692,129688,85486,79815
OK,2012,2702148,314108,361377,82507,356914,1890163,1926891,52264,212557,264873,259652,255488,285015,265025,256570,229470,234884,240880,265142,247969,212880,173536,128436,97073,69795,65545
MO,2000,4740091,646850,28743,71742,119859,2727498,2879787,73526,296010,396988,413823,414907,372298,359680,376688,441960,445644,398212,350692,281080,229546,204813,187650,157550,107136,99082
WY,2008,477275,5571,12501,4747,45949,278061,267982,7970,30207,35372,35210,38839,40892,38737,32703,33394,33396,41106,43873,38317,29349,21158,15808,12458,9103,8151
CO,2002,3334535,183545,35353,119950,817023,2261741,2228665,66280,249899,305736,323786,323712,332961,325998,352813,348863,379240,355435,306326,228179,159381,124664,107287,87670,61754,50422
FL,2008,11102797,2878120,54741,482485,4009162,9062026,9465279,222151,863428,1065778,1134890,1241381,1207898,1170676,1079825,1216183,1297425,1388103,1286729,1159372,1058462,898069,734873,621616,475065,405381
AR,2012,2213560,465872,23464,49553,198236,1449552,1501133,38427,155924,199527,198853,197237,211052,190889,191161,178172,186336,193738,203282,191428,171989,144357,108170,79651,56742,53750
KY,2002,3656355,313885,8641,37797,73197,2002652,2087223,53496,214562,271537,285966,284083,299655,262975,289407,306192,323048,307095,277686,225926,179629,146696,127398,104644,71569,58311
MD,2002,3334513,1562761,16306,252924,273885,2625192,2815197,72755,284983,374319,412329,374739,340867,330959,397908,448823,465905,423267,376152,302815,219609,171733,151869,129597,90647,71113
NM,2010,852124,42366,181525,30781,957960,1020422,1044334,27898,116824,143505,142001,149479,143578,140241,128666,123183,125306,143677,147406,137427,121458,88473,66402,50386,36501,32345
NM,2008,846422,40201,178470,29004,916565,992084,1018578,29383,114855,136296,139938,151343,141128,136330,120107,123684,128457,147252,143585,132123,107807,81451,62684,49102,35220,29917
NV,2012,1493161,243765,27552,238923,749164,1386622,1365943,34475,145664,184193,182366,175593,187768,195645,195911,184248,195957,190672,187521,173964,157609,130795,92180,62308,41132,34564
PA,2016,9952153,1453073,22707,455480,900814,6261194,6523033,140495,571270,731623,754496,823097,841422,868634,809077,754790,726377,831844,903328,948975,855078,729263,507743,372603,279644,334468
MA,2016,5036923,511126,15318,467751,780661,3305651,3506128,71857,289519,373239,392800,456601,498337,488357,463972,420389,404624,461885,499231,491773,425231,362314,250217,173072,129555,158806
DC,2016,252630,322211,1876,30031,74422,323230,357940,9399,34108,35081,26737,36616,59093,79115,75876,57106,41783,39000,38521,36897,33147,27540,18019,12699,9063,11370
MS,2016,1715928,1131603,15250,34497,91448,1448792,1539934,37310,151391,203836,203202,208334,213132,203930,190323,188305,177230,184935,195028,200613,180216,156619,109432,80299,53627,50964
PA,2012,10138273,1423336,22060,400388,787797,6237852,6534002,142076,579285,748957,778030,866478,891468,815881,769164,717212,831279,902903,975599,923717,786871,614243,449458,354520,302129,322584
OH,2014,9389797,1520933,29569,252519,401590,5676176,5918232,139665,557068,727330,754617,771704,794262,751330,720969,678857,726317,754290,845029,846835,727203,584986,421216,312385,230304,250041
MA,2012,5086107,468843,15073,405121,682864,3226059,3431949,72359,293662,381946,400597,464607,483804,467022,428236,397539,454857,497751,507964,459221,390439,303090,206603,161022,135018,152271
GA,2012,5539773,3083472,25484,371730,894209,4842895,5071773,131130,540752,699189,702987,700257,724973,677088,682100,661317,717937,709940,691542,612124,524284,408092,278750,194426,134747,123033
MI,2006,7850577,1467177,67822,246847,403658,4929460,5106621,124689,510771,669858,730633,760901,682237,608963,610093,691345,748354,791945,727584,643295,465970,353433,289713,259216,198062,169019
AK,2014,480278,31631,118692,56617,49487,385536,351169,11233,43648,52023,50107,48954,60179,60863,55778,45889,45397,46032,53150,51615,42472,28952,17615,10294,6568,5936
OK,2002,2632102,278521,310376,57635,210446,1720000,1769080,49666,190876,234909,253759,265914,267356,219360,228261,238201,265966,252798,223414,189534,151281,129956,112699,94207,65488,55435
WY,2004,451741,4931,11529,3904,37001,257600,251506,6765,25900,31954,36332,39553,40438,30233,30802,30375,38218,42815,39499,31434,23612,18151,14722,12258,8857,7188
AL,2016,3242435,1312529,29770,74721,203845,2355586,2507714,58269,234296,303617,306381,320546,333330,332135,305352,301057,294656,312055,331963,338734,306358,271310,193359,138956,94173,86753
NE,2000,1506521,72854,14512,24428,95505,844840,868980,23695,93294,122881,129380,135348,120920,111269,111336,129477,134051,123423,104010,78053,64253,59171,56212,48072,34809,34166
RI,2002,874920,55067,5277,28777,101954,512905,553090,12338,51034,68726,74373,77667,77308,62673,73546,81824,86773,80347,69872,57369,41318,35005,35019,33589,25318,21896
FL,2004,10999877,2636845,53097,394230,3331269,8512871,8902447,209821,830348,1013054,1149995,1135477,1125385,1024559,1117654,1202373,1349142,1270404,1131018,1036034,887744,781726,711221,630121,456021,353221
TX,2000,11097726,2417452,78694,610759,6739868,10399343,10545156,337037,1291553,1650665,1644416,1644928,1551447,1587889,1574951,1689146,1643072,1427642,1210389,904193,706128,611283,533653,426356,270589,239162
TN,2006,4728499,1032167,17040,87144,223916,2967311,3121455,80595,315007,398826,415802,424339,408506,414933,394269,427043,454716,458967,426578,395461,299364,237951,188981,149766,108412,89250
KY,2000,3640956,305218,8443,33674,60730,1979305,2069716,53633,211990,277905,280559,290057,284962,278770,286901,320703,321487,295867,265691,205915,168986,144387,129202,105010,68356,58640
MN,2000,4384236,190705,58089,155361,145301,2443070,2490622,65826,264159,354934,377027,376164,324995,317962,353839,411295,412926,366725,304710,228635,179113,152801,142599,123017,90869,86096
OK,2014,2713578,322985,367721,91038,382177,1921310,1956189,52803,213418,269660,262840,257076,289587,266342,268014,237198,234537,227915,262001,253477,220228,184091,138516,100737,71169,67890
CO,2004,3358655,188381,35440,127793,864744,2300502,2274511,66137,259849,301885,324457,326646,338785,326122,347503,335046,373107,363311,324142,258091,179869,133022,108124,89018,65952,53947
SC,2006,2854453,1255382,16608,55715,175689,2120192,2237655,59104,224562,279705,295459,323385,308596,291713,273229,296162,318451,322637,302012,286075,221587,174260,138107,105668,76579,60556
IL,2016,7992973,1874281,25654,727192,2181439,6291791,6509748,153482,619029,806005,833900,844129,884075,896570,877462,849375,797381,840657,872497,885833,769880,636260,436583,314651,224287,259483
CA,2012,15457616,2389181,209220,5442314,14512743,18884768,19126306,494708,2020046,2540758,2538635,2701257,2919888,2795302,2694667,2518040,2643246,2614486,2620187,2352433,1955149,1493627,1052971,793336,613316,649022
